year;Aruba;Afghanistan;Angola;Albania;Andorra;United Arab Emirates;Argentina;Armenia;Antigua and Barbuda;Australia;Austria;Azerbaijan;Burundi;Belgium;Benin;Burkina Faso;Bangladesh;Bulgaria;Bahrain;Bahamas, The;Bosnia and Herzegovina;Belarus;Belize;Bermuda;Bolivia;Brazil;Barbados;Brunei Darussalam;Bhutan;Botswana;Central African Republic;Canada;Switzerland;Chile;China;Cote d'Ivoire;Cameroon;Congo, Dem. Rep.;Congo, Rep.;Colombia;Comoros;Cabo Verde;Costa Rica;Caribbean small states;Cuba;Curacao;Cayman Islands;Cyprus;Czechia;Germany;Djibouti;Dominica;Denmark;Dominican Republic;Algeria;Ecuador;Egypt, Arab Rep.;Eritrea;Spain;Estonia;Ethiopia;Fragile and conflict affected situations;Finland;Fiji;France;Faroe Islands;Micronesia, Fed. Sts.;Gabon;United Kingdom;Georgia;Ghana;Gibraltar;Guinea;Gambia, The;Guinea-Bissau;Equatorial Guinea;Greece;Grenada;Greenland;Guatemala;Guyana;Hong Kong SAR, China;Honduras;Croatia;Haiti;Hungary;Indonesia;India;Ireland;Iran, Islamic Rep.;Iraq;Iceland;Israel;Italy;Jamaica;Jordan;Japan;Kazakhstan;Kenya;Kyrgyz Republic;Cambodia;Kiribati;St. Kitts and Nevis;Korea, Rep.;Kuwait;Lao PDR;Lebanon;Liberia;Libya;St. Lucia;Liechtenstein;Sri Lanka;Lesotho;Lithuania;Luxembourg;Latvia;Macao SAR, China;Morocco;Moldova;Madagascar;Maldives;Mexico;Marshall Islands;North Macedonia;Mali;Malta;Myanmar;Montenegro;Mongolia;Mozambique;Mauritania;Mauritius;Malawi;Malaysia;Namibia;New Caledonia;Niger;Nigeria;Nicaragua;Netherlands;Norway;Nepal;Nauru;New Zealand;Oman;Pakistan;Panama;Peru;Philippines;Palau;Papua New Guinea;Poland;Korea, Dem. People's Rep.;Portugal;Paraguay;West Bank and Gaza;French Polynesia;Qatar;Romania;Russian Federation;Rwanda;Saudi Arabia;Sudan;Senegal;Singapore;Solomon Islands;Sierra Leone;El Salvador;Somalia;Serbia;Sao Tome and Principe;Suriname;Slovak Republic;Slovenia;Sweden;Eswatini;Sint Maarten (Dutch part);Seychelles;Syrian Arab Republic;Turks and Caicos Islands;Chad;Togo;Thailand;Tajikistan;Turkmenistan;Timor-Leste;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkiye;Tuvalu;Tanzania;Uganda;Ukraine;Uruguay;United States;Uzbekistan;St. Vincent and the Grenadines;Venezuela, RB;British Virgin Islands;Vietnam;Vanuatu;Samoa;Kosovo;Yemen, Rep.;Zambia;Zimbabwe
1960;11092.675;414.371;550.05;2024.184;;11.001;48815.104;;36.67;88202.351;30821.135;;;91000.272;161.348;44.004;14154.62;22295.36;575.719;410.704;;;44.004;157.681;1004.758;46908.264;172.349;333.697;;;88.008;192895.201;19523.108;13490.893;780726.302;462.042;271.358;2321.211;223.687;16409.825;11.001;22.002;491.378;5878.201;13699.912;;11.001;887.414;;;40.337;11.001;29779.707;1041.428;6160.56;1763.827;16054.126;;48928.781;;352.032;111700.090115578;15104.373;194.351;271218.654;58.672;;132.012;584299.78;;1463.133;47.671;410.704;18.335;18.335;22.002;9405.855;22.002;223.687;1345.789;660.06;2955.602;616.056;;286.026;45371.791;21404.279;120581.961;11180.683;37392.399;8265.418;1213.777;6468.588;109357.274;1470.467;744.401;232781.16;;2427.554;;234.688;;11.001;12552.141;7803.376;80.674;2581.568;165.015;693.063;14.668;;2258.872;;;11518.047;;51.338;3641.331;;399.703;;63116.404;;;121.011;341.031;2717.247;;1294.451;1884.838;36.67;179.683;;3567.991;;861.745;29.336;3406.643;531.715;73505.015;13102.191;80.674;;11543.716;;14154.62;997.424;8173.743;8335.091;14.668;179.683;199767.159;23817.165;8225.081;304.361;;36.67;176.016;53450.192;1448637.349;106.343;2676.91;1360.457;828.742;1393.46;11.001;715.065;619.723;84.341;;11.001;432.706;;;49222.141;33.003;;;3223.293;;55.005;66.006;3714.671;;;;11.001;2581.568;1727.157;16820.529;;;828.742;421.705;;4319.726;2890696.1;;11.001;57069.521;;5944.207;;14.668;;58.672;;
1961;11576.719;491.378;454.708;2280.874;;11.001;51180.319;;47.671;90589.568;31862.563;;;92793.435;128.345;91.675;14656.999;25973.361;1771.161;546.383;;;36.67;176.016;1041.428;49203.806;194.351;304.361;;;88.008;194182.318;20388.52;14473.649;552066.85;553.717;282.359;2357.881;267.691;18217.656;11.001;22.002;491.378;8804.467;12181.774;;11.001;865.412;;;44.004;11.001;31734.218;1030.427;6065.218;1646.483;17088.22;;53677.546;;341.031;108323.777002636;14939.358;168.682;281211.229;113.677;;165.015;588938.535;;1345.789;51.338;616.056;22.002;29.336;22.002;9823.893;18.335;293.36;1408.128;737.067;3373.64;737.067;;297.027;48976.452;26024.699;130402.187;12365.124;36541.655;8720.126;1092.766;7069.976;124549.655;2130.527;979.089;283118.069;;2401.885;;286.026;7.334;22.002;14462.648;9981.574;113.677;2684.244;161.348;1195.442;18.335;;2335.879;;;11591.387;;69.673;3777.01;;355.699;;65305.603;;;117.344;293.36;2592.569;;1393.46;2632.906;47.671;187.017;;4000.697;;887.414;55.005;4114.374;561.051;75888.565;13351.547;80.674;;11767.403;;14656.999;1103.767;8643.119;8723.793;51.338;201.685;207434.856;26457.405;9090.493;363.033;;58.672;161.348;55775.07;1493932.133;139.346;3571.658;1386.126;814.074;2093.857;14.668;289.693;583.053;88.008;;11.001;429.039;;;48851.774;3.667;;;3065.612;;51.338;91.675;4147.377;;;;11.001;4602.085;1767.494;17363.245;;;704.064;407.037;;4121.708;2880505.507;;11.001;51928.387;;6164.227;;18.335;;73.34;;
1962;12713.489;689.396;1180.774;2464.224;;18.335;53695.881;;102.676;94912.961;33905.082;;44.004;98117.919;135.679;84.341;16105.464;30736.794;1591.478;726.066;;;69.673;157.681;1100.1;53695.881;260.357;370.367;;;73.34;207185.5;24154.529;16725.187;440359.029;586.72;289.693;2174.531;238.355;19442.434;11.001;18.335;550.05;11771.07;14169.288;;11.001;905.749;;;47.671;11.001;36926.69;1243.113;5669.182;1565.809;18595.357;;60054.459;;396.036;111695.017318434;16809.528;231.021;298706.486;117.344;;88.008;593360.937;;1433.797;55.005;660.06;25.669;40.337;22.002;10164.924;25.669;264.024;1382.459;678.395;3685.335;700.397;;304.361;50560.596;22995.757;143467.708;13120.526;37462.072;9031.821;1199.109;7942.722;146456.313;2119.526;1048.762;293220.654;;2625.572;;308.028;11.001;14.668;17278.904;14290.299;132.012;2856.593;253.023;1048.762;18.335;;2563.233;;;11551.05;;95.342;3080.28;;396.036;;63809.467;;;139.346;330.03;2882.262;;1972.846;1987.514;62.339;253.023;;4074.037;;564.718;66.006;4180.38;660.06;83358.244;14077.613;88.008;;11210.019;;16105.464;1191.775;9970.573;10348.274;51.338;198.018;216815.042;30722.126;9303.179;392.369;;47.671;190.684;63879.14;1567950.528;84.341;6255.902;1485.135;814.074;2577.901;14.668;326.363;649.059;106.343;;11.001;495.045;;;51326.999;;;;3204.958;;84.341;88.008;5034.791;;;;11.001;7238.658;1796.83;21631.633;;;766.403;429.039;;4011.698;2987207.873;;11.001;54106.585;3.667;7550.353;40.337;18.335;;69.673;;
1963;12178.107;707.731;1151.438;2082.856;;22.002;50083.886;;84.341;101029.517;36992.696;;47.671;105781.949;121.011;88.008;18514.683;34411.128;1195.442;707.731;;;62.339;150.347;1213.777;55617.389;190.684;355.699;;;73.34;211109.19;29104.979;17355.911;436695.696;623.39;300.694;2295.542;234.688;21257.599;11.001;14.668;601.388;5984.544;13039.852;;11.001;986.423;;;66.006;14.668;40707.367;1250.447;5427.16;1796.83;21554.626;;58822.347;;421.705;117574.958408734;19358.093;242.022;334019.696;124.678;;73.34;603822.888;;1723.49;55.005;696.73;29.336;47.671;25.669;12258.781;14.668;330.03;1521.805;616.056;4250.053;711.398;;249.356;56281.116;22783.071;154083.673;13461.557;41341.758;9394.854;1305.452;8210.413;164780.312;2398.218;1221.111;325222.563;;2856.593;;388.702;18.335;18.335;21103.585;17025.881;146.68;3028.942;355.699;1463.133;22.002;;2533.897;;;11448.374;;106.343;3960.36;;462.042;;66361.699;;;176.016;410.704;2636.573;;1602.479;1661.151;88.008;209.019;;4968.785;;619.723;88.008;5350.153;843.41;91227.626;14983.362;99.009;;12229.445;;18514.683;1184.441;10234.597;11485.044;55.005;256.69;231219.018;32863.654;10025.578;410.704;;66.006;6138.558;69529.987;1681524.852;84.341;6945.298;1679.486;861.745;3399.309;14.668;370.367;1125.769;102.676;;7.334;531.715;;;55371.7;;;7.334;3611.995;;91.675;106.343;5570.173;;;;11.001;1309.119;1947.177;22669.394;;;803.073;432.706;;4319.726;3119230.874;;14.668;56204.109;3.667;7036.973;33.003;22.002;;80.674;;
1964;11840.743;839.743;1224.778;2016.85;;18.335;55727.399;;91.675;108979.573;38943.54;;47.671;103662.423;143.013;110.01;19035.397;42863.563;1598.812;1085.432;;;84.341;201.685;1481.468;56735.824;179.683;341.031;;;73.34;237801.283;28166.227;17524.593;436923.05;762.736;337.364;1976.513;267.691;21708.64;11.001;29.336;674.728;10652.635;14293.966;;11.001;1001.091;;;84.341;14.668;43189.926;1749.159;5650.847;2145.195;25522.32;;64410.855;;407.037;121631.735946686;22852.744;425.372;345303.055;121.011;;190.684;608355.3;;1650.15;55.005;700.397;29.336;58.672;25.669;13223.202;22.002;315.362;1771.161;649.059;4224.384;722.399;;300.694;62401.339;22394.369;150647.694;14231.627;47560.99;9075.825;1309.119;9149.165;175957.328;4066.703;1243.113;359318.329;;2827.257;;341.031;18.335;18.335;22218.353;25335.303;172.349;3267.297;484.044;663.727;22.002;;2273.54;;;12306.452;;128.345;4422.402;;484.044;;74278.752;;;176.016;498.712;2860.26;;2046.186;2141.528;117.344;308.028;330.03;6424.584;;1100.1;95.342;7275.328;949.753;96867.472;16189.805;150.347;29.336;13105.858;11.001;19035.397;1243.113;12266.115;12838.167;58.672;267.691;243114.766;35657.908;11023.002;432.706;;66.006;6274.237;72115.222;1788304.225;36.67;7047.974;1859.169;924.084;3703.67;18.335;304.361;1232.112;135.679;;11.001;605.055;;;60432.16;11.001;;7.334;4367.397;;99.009;132.012;7480.68;;;;11.001;3795.345;2757.584;26336.394;;;1034.094;491.378;;4558.081;3255995.306;;18.335;56603.812;7.334;7719.035;62.339;25.669;;99.009;3278.298;4473.74
1965;10623.299;1008.425;1188.108;2174.531;;22.002;58866.351;;150.347;120966.996;38188.138;;36.67;105440.918;150.347;102.676;19974.149;46317.877;1228.445;1316.453;;;84.341;179.683;1510.804;56398.46;205.352;333.697;;;88.008;252153.921;30370.094;17766.615;475972.933;1173.44;311.695;2471.558;245.689;22885.747;14.668;25.669;847.077;11917.75;14609.328;;11.001;1151.438;;;121.011;14.668;44337.697;1547.474;6596.933;2277.207;27641.846;;71117.798;;645.392;147210.609905741;25327.969;344.698;351852.317;135.679;;216.353;622619.93;;1705.155;47.671;696.73;29.336;66.006;29.336;17025.881;22.002;344.698;1976.513;1078.098;4807.437;751.735;;304.361;61293.905;24689.911;165972.087;13732.915;53765.554;19314.089;1397.127;12944.51;189767.25;2992.272;1422.796;386919.838;;2467.891;;403.37;11.001;22.002;25005.273;35419.553;179.683;3318.635;557.384;1015.759;25.669;;2658.575;;;12203.776;;132.012;4261.054;;557.384;;75246.84;;;198.018;473.043;2728.248;;1958.178;2005.849;161.348;304.361;348.365;6486.923;;1232.112;91.675;11763.736;781.071;100497.802;16409.825;179.683;33.003;13699.912;25.669;19974.149;1529.139;11965.421;13982.271;66.006;304.361;247221.806;44268.024;11598.721;550.05;;84.341;6292.572;78723.156;1897052.777;47.671;4220.717;2427.554;1694.154;2530.23;25.669;282.359;1041.428;132.012;;11.001;795.739;;;62628.693;80.674;;7.334;3678.001;;106.343;132.012;7451.344;;;;11.001;5196.139;2464.224;27388.823;;;1162.439;627.057;;5522.502;3390922.571;;14.668;60787.859;7.334;8250.75;47.671;29.336;;102.676;3916.356;5214.474
1966;9933.903;1092.766;1554.808;2552.232;;25.669;63138.406;;348.365;120332.605;39258.902;;47.671;105206.23;113.677;102.676;20326.181;48767.433;649.059;1092.766;;;80.674;201.685;1690.487;64304.512;267.691;491.378;;;84.341;259319.239;31528.866;18793.375;522789.522;1294.451;344.698;2405.552;308.028;23501.803;18.335;22.002;993.757;11756.402;15185.047;;18.335;1243.113;;;139.346;14.668;50127.89;1672.152;8430.433;2420.22;26563.748;;77729.399;;825.075;160314.317238399;29519.35;322.696;347235.564;139.346;;381.368;618564.228;;1441.131;55.005;718.732;33.003;66.006;25.669;18650.362;29.336;388.702;1741.825;1180.774;5166.803;806.74;;304.361;61733.945;23395.46;171765.947;15111.707;64161.499;27704.185;1496.136;13597.236;214248.142;3520.32;1584.144;419743.155;;2684.244;;469.376;11.001;22.002;30014.395;35151.862;234.688;3630.33;612.389;2629.239;29.336;;2662.242;;;11620.723;;150.347;5467.497;;579.386;;80930.69;;;190.684;414.371;2808.922;;1954.511;2126.86;179.683;275.025;429.039;7693.366;;1510.804;135.679;12907.84;960.754;103655.089;19563.445;190.684;33.003;14015.274;29.336;20326.181;1657.484;13256.205;16123.799;66.006;341.031;252678.302;47648.998;11851.744;513.38;;121.011;6277.904;84183.319;2003392.11;44.004;6413.583;2643.907;1719.823;674.728;25.669;300.694;1305.452;139.346;;11.001;1096.433;;;72591.932;201.685;;7.334;4917.447;;84.341;179.683;9479.195;;;;11.001;4055.702;2885.929;31547.201;;;1371.458;733.4;;5405.158;3561878.111;;18.335;57029.184;11.001;8782.465;77.007;25.669;;99.009;3501.985;6046.883
1967;12236.779;1283.45;993.757;2680.577;;916.75;65543.958;;564.718;129265.417;39966.633;;47.671;107472.436;143.013;102.676;21572.961;55166.348;1004.758;1705.155;;;121.011;212.686;1892.172;66193.017;337.364;440.04;;;91.675;281896.958;32562.96;19259.084;433234.048;1488.802;458.375;2291.875;322.696;24715.58;18.335;18.335;876.413;14026.275;15749.765;;14.668;1364.124;;;88.008;22.002;49075.461;1569.476;8441.434;2592.569;19677.122;;86519.198;;1074.431;180108.794842754;28617.268;355.699;372009.816;168.682;;1012.092;592517.527;;1496.136;62.339;726.066;33.003;47.671;25.669;19534.109;36.67;418.038;1983.847;1323.787;6057.884;876.413;;260.357;58829.681;24561.566;172238.99;16413.492;67942.176;18393.672;1444.798;13542.231;234427.643;3868.685;1415.462;489881.864;;2702.579;;418.038;22.002;22.002;35151.862;25441.646;319.029;3571.658;612.389;18507.349;33.003;;2948.268;;;11360.366;;165.015;5416.159;;843.41;;90101.857;;;223.687;520.714;3619.329;;2152.529;1873.837;198.018;498.712;366.7;8478.104;;1474.134;132.012;12838.167;1081.765;106783.04;19328.757;212.686;47.671;13641.24;135.679;21572.961;1697.821;13655.908;18232.324;73.34;436.373;259282.569;52445.434;12409.128;487.711;;139.346;6688.608;92129.708;2094843.423;40.337;25507.652;3186.623;700.397;3058.278;33.003;253.023;1158.772;227.354;;11.001;1334.788;;;69001.939;227.354;;7.334;4609.419;;117.344;198.018;12167.106;;;;14.668;4638.755;3087.614;33523.714;;;1760.16;810.407;;4884.444;3695708.943;;18.335;65815.316;3.667;7832.712;84.341;25.669;;102.676;4792.769;5298.815
1968;11378.701;1224.778;1672.152;3072.946;;1243.113;69082.613;;990.09;134622.904;42350.183;;55.005;118557.777;154.014;102.676;24737.582;59526.411;1103.767;1631.815;;;102.676;223.687;2178.198;77421.371;440.04;429.039;;;183.35;303539.592;36028.275;21224.596;468928.626;1763.827;506.046;3369.973;451.041;26604.085;18.335;29.336;1037.761;14026.275;16035.791;;22.002;1624.481;;;121.011;22.002;53325.514;2350.547;9061.157;3116.95;22904.082;;97157.165;;1727.157;194123.430735206;33314.695;396.036;384631.63;183.35;;1961.845;606969.174;;1763.827;66.006;748.068;36.67;62.339;29.336;22321.029;40.337;542.716;2141.528;1331.121;6204.564;1224.778;;264.024;61154.559;27586.841;187336.029;17821.62;82404.824;19717.459;1595.145;13809.922;249495.346;3883.353;1507.137;562565.471;;2819.923;;491.378;33.003;33.003;37242.052;22442.04;168.682;3700.003;883.747;30139.073;36.67;;3241.628;;;12269.782;;168.682;5628.845;;913.083;;93988.877;;;198.018;638.058;2929.933;;2482.559;2779.586;234.688;638.058;388.702;8511.107;;1840.834;161.348;6633.603;1232.112;113552.322;21140.255;253.023;47.671;13487.226;161.348;24737.582;2020.517;14502.985;22251.356;77.007;502.379;276073.762;59328.393;13010.516;590.387;;154.014;7080.977;100189.774;2153698.773;55.005;29104.979;3105.949;-80.674;5419.826;36.67;385.035;1261.448;154.014;;14.668;1452.132;;;77685.395;278.692;;7.334;5962.542;;124.678;194.351;17099.221;;;;14.668;4041.034;3597.327;36314.301;;;1653.817;982.756;;4884.444;3831354.94;;22.002;65635.633;14.668;8393.763;62.339;29.336;;128.345;4572.749;6384.247
1969;14891.687;942.419;2786.92;3245.295;;20524.199;77329.696;;1257.781;142257.598;44693.396;;73.34;123618.237;201.685;121.011;23993.181;66376.367;1272.449;1745.492;;;135.679;198.018;2548.565;84315.331;480.377;487.711;;;187.017;307400.943;38096.463;22555.717;577237.138;2086.523;572.052;3652.332;502.379;28048.883;18.335;36.67;1147.771;14869.685;17260.569;;44.004;1672.152;;;84.341;18.335;59401.733;2654.908;11276.025;3593.66;19695.457;;96882.14;;1668.485;220840.965394006;37935.115;432.706;413259.899;212.686;;1433.797;628857.497;;1690.487;66.006;748.068;47.671;58.672;44.004;25474.649;47.671;407.037;2280.874;1367.791;7759.372;1177.107;;315.362;62419.674;33391.702;190724.337;18514.683;83116.222;22625.39;1265.115;14818.347;270008.544;4272.055;1760.16;653958.112;;3131.618;;1345.789;11.001;25.669;42522.532;26831.439;319.029;4352.729;1272.449;35551.565;62.339;;4319.726;;;13193.866;;168.682;5826.863;;850.744;;102287.298;;;161.348;652.726;3215.959;;2684.244;3241.628;275.025;572.052;381.368;9526.866;;1558.475;190.684;12112.101;1287.117;115910.203;22222.02;399.703;66.006;14271.964;234.688;23993.181;2053.52;15302.391;22860.078;132.012;557.384;293653.36;64143.164;14612.995;520.714;;161.348;7172.652;111649.149;2242938.885;58.672;35302.209;4184.047;491.378;7205.655;36.67;1107.434;1191.775;161.348;;14.668;1521.805;;;86467.86;304.361;;7.334;7242.325;;161.348;242.022;14561.657;;;;11.001;3905.355;3857.684;38807.861;;;1796.83;1177.107;;5595.842;4024748.853;;29.336;68998.272;18.335;8511.107;44.004;29.336;;135.679;4275.722;6750.947
